题号,题干,A,B,C,D,E,答案,难度,题型
211,灵活双工技术可以根据上下行业务变化动态分配上下行资源。,,,,,,正确,无,判断题
212,D2D通信技术的英文全称是什么？,Device-to-Device,Data-to-Data,Direct-to-Direct,Digital-to-Digital,,A,无,单选题
213,在5G系统中，D2D通信的主要优点不包括以下哪一项？,提升频谱效率,增加传输时延,降低功耗,提高系统可靠性,,B,无,单选题
214,在LTE版本R12中，D2D通信的资源使用基于什么概念？,资源块,资源池,资源网格,资源单元,,B,无,单选题
215,以下哪种D2D通信模式需要eNB分配确切的资源？,模式1,模式2,模式3,模式4,,A,无,单选题
216,D2D发现的资源由eNB发送的哪种系统信息块指示？,System Information Block Type 18,System Information Block Type 19,System Information Block Type 20,System Information Block Type 21,,B,无,单选题
217,在5G D2D RRM中，以下哪项不属于主要的RRM工具箱技术？,模式选择（MoS）,资源分配（ReA）,功率控制（PC）,链路自适应（LA）,,D,无,单选题
218,D2D通信的应用场景包括以下哪些？,数据分享,中继通信,单跳或多跳局域通信,终端发现,,ABCD,无,多选题
219,D2D通信相对于传统蜂窝通信的优势有哪些？,邻近增益,复用增益,跳跃增益,分集增益,,ABCD,无,多选题
220,在动态TDD的多小区D2D通信中，可能存在的干扰类型有哪些？,DL到UL干扰,DL到D2D干扰,D2D到UL干扰,D2D到D2D干扰,,ABCD,无,多选题
221,D2D通信必须依赖基站才能实现终端之间的直接通信。,,,,,,错误,无,判断题
222,在LTE版本R12中，D2D通信仅支持公共安全服务领域的应用。,,,,,,正确,无,判断题
223,D2D通信的空中接口是完全独立于蜂窝空中接口设计的。,,,,,,错误,无,判断题
224,在分布式调度中，每个小区决定其自身资源调度的依据是？,宏站转发的全局信道质量信息,自身小区的即时信道条件和网络负载,多运营商D2D服务器的授权信息,跨小区的SINR对比结果,,B,无,单选题
225,集中式调度的资源分配决策由以下哪个设备做出？,用户终端自身,所属微站直接决定,网络中心设备（如宏站）协同调度,多运营商D2D服务器,,C,无,单选题
226,模式选择中的快速MoS（模式选择）通常在哪个协议层进行？,MAC层,PDCP层,RRC层,应用层,,A,无,单选题
227,3GPP定义的LTE-D2D应用场景不包括以下哪类？,公共安全,商业应用,卫星通信,应急通信,,C,无,单选题
228,在D2D模式选择中，基于路径损耗的慢模式选择倾向于D2D通信的原因是？,D2D链路的路径损耗始终小于蜂窝链路,加入了偏差值使得模式选择更倾向于D2D,蜂窝链路的SINR始终低于D2D链路,无需考虑半双工限制,,B,无,单选题
229,以下哪项不属于D2D的商业应用场景分类？,对等通信,中继通信,公共安全,本地广播,,C,无,单选题
230,调度器的优化目标包括以下哪些方面？,最大化时延加权的速率之和,保证半双工限制的遵守,平衡不同用户的延迟和数据类型,最小化跨运营商D2D的频谱资源占用,,ABC,无,多选题
231,D2D的应用场景包括以下哪些？,公共安全应急通信,本地业务流量卸载,车联网V2V通信,卫星遥感数据传输,,ABC,无,多选题
232,集中式调度相比分布式调度的优势在于？,利用全局信息平衡用户延迟和数据类型,降低信令开销和复杂性,提升最差用户体验和公平性,独立决策无需协同,,AC,无,多选题
233,快速MoS（模式选择）需要在每个时隙基于前一个调度时隙的SINR估计进行，且允许直接D2D和DID模式的快速切换。,,,,,,正确,无,判断题
234,跨运营商D2D通信必须采用非授权频谱，因为授权频谱属于单一运营商专有。,,,,,,错误,无,判断题
235,D2D技术仅适用于5G移动通信系统，4G系统无法支持。,,,,,,错误,无,判断题
236,5G超密集组网宏-微部署场景中，终端的控制面承载由以下哪个网元负责维护？,微基站,宏基站,核心网网关,Wi-Fi接入点,,B,无,单选题
237,IMT-2020归纳的5G超密集网络六大典型场景中，用户超高密度分布且处于高速移动状态的是以下哪个场景？,密集住宅区,地铁,购物中心,大型活动场馆,,B,无,单选题
238,5G超密集组网网络架构中，将视频编解码、头压缩等业务使能模块下沉部署到接入网侧的主要目的是？,减少传输压力,增强控制面功能,提升移动性管理能力,增加核心网信令负荷,,A,无,单选题
239,5G超密集组网宏-微部署场景下，控制承载分离的优势不包括以下哪项？,移动性能提升,资源利用率提升,增加核心网信令负荷,提升用户体验,,C,无,单选题
240,5G超密集组网微-微部署场景中，为实现类似宏基站的控制面承载传输功能，提出的方案是？,虚拟宏小区方案,双连接方案1,双连接方案2,网关功能下沉方案,,A,无,单选题
241,5G超密集组网网络架构中，转发云的核心特征是？,网络控制功能集中,接入资源协同管理,剥离控制功能，转发功能靠近基站,支持多种部署场景,,C,无,单选题
242,5G超密集组网的主要优势包括以下哪些？,改善网络覆盖,大幅度提升系统容量,对业务进行分流,降低网络能效,,ABC,无,多选题
243,5G超密集组网宏-微部署场景下，控制承载分离的技术方案中，用户面承载的分配原则包括以下哪些？,低速率、移动性要求较高的业务由宏基站负责,高带宽需求的业务由微基站负责,所有业务均由微基站负责,中断时延不敏感的业务由微基站负责,,ABD,无,多选题
244,5G超密集组网网络架构中，控制云的核心特征包括以下哪些？,网络控制功能集中,网元功能虚拟化、软件化,支持网络功能开放,接入资源协同管理,,ABC,无,多选题
245,5G超密集组网中，微基站的覆盖范围较大，宏基站的覆盖范围较小。,,,,,,错误,无,判断题
246,5G超密集组网宏-微部署场景下，控制承载分离可以实现覆盖和容量的单独优化设计。,,,,,,正确,无,判断题
247,5G超密集组网微-微部署场景中，虚拟宏小区主要负责用户面数据的传输。,,,,,,错误,无,判断题
248,在5G超密集组网的虚拟宏小区构建中，控制面与数据面分离的实现方式是？,同一簇内微基站在所有资源上共享控制面和用户面传输,同一簇内微基站在共享资源上传输控制面承载，剩余资源单独传输用户面数据,所有微基站使用相同小区ID进行用户面数据传输,仅在载波2上进行控制面信令传输,,B,无,单选题
249,当网络负载较重时，微小区动态分簇方案会如何调整？,组成虚拟宏基站，提升覆盖,每个微基站作为独立小区，实现小区分裂,增加虚拟宏小区ID数量,降低微基站发射功率,,B,无,单选题
250,载波聚合（CA）在LTE-Advanced中的主要目的是？,减少基站数量,增加传输带宽，提高比特速率,降低终端功耗,简化网络架构,,B,无,单选题
251,在载波聚合场景中，Primary Cell（PCell）的作用是？,提供额外无线资源,工作在辅频带，辅助主小区传输,UE进行初始连接建立或重建立的小区,仅在切换时临时使用的小区,,C,无,单选题
252,双连接（DC）技术中，数据分流和聚合的功能主要由哪个层负责？,物理层（PHY）,媒体接入控制层（MAC）,分组数据汇聚协议层（PDCP）,无线链路控制层（RLC）,,C,无,单选题
253,5G核心网下的4G无线接入网与5G NR的双连接形式是？,EN-DC,NE-DC,NGEN-DC,NR-DC,,C,无,单选题
254,虚拟宏小区构建的资源共享包括哪些？,信号,信道,载波,用户数据,,ABC,无,多选题
255,微小区动态分簇方案的优势包括？,负载轻时降低切换次数,负载轻时获得接收分集增益,负载重时提升网络容量,始终保持虚拟宏基站模式,,ABC,无,多选题
256,载波聚合支持的聚合类型包括？,同一频带内连续的CC聚合,同一频带内非连续的CC聚合,不同频带内的CC聚合,仅相同带宽的CC聚合,,ABC,无,多选题
257,虚拟宏小区方案中，空闲态终端只需驻留在载波1上接收控制面信令。,,,,,,正确,无,判断题
258,载波聚合中每个CC对应一个独立的Cell，Serving Cell集合仅包含PCell。,,,,,,错误,无,判断题
259,双连接技术中手机只能连接一个基站的无线资源。,,,,,,错误,无,判断题
260,5G NR定义的子载波间隔不包括以下哪个选项？,15 kHz,30 kHz,60 kHz,180 kHz,,D,无,单选题
261,OFDM系统中循环前缀（CP）的主要作用是什么？,提高频谱效率,消除符号间干扰（ISI）,减少载波间干扰（ICI）,增加传输功率,,B,无,单选题
262,上行链路带内（Intra-band）CA的实现难度如何？,最简单,中等,较难,最难,,A,无,单选题
263,NOMA接收端采用的关键技术是什么？,功率控制,串行干扰删除（SIC）,正交频分复用,跳频技术,,B,无,单选题
264,承载网在移动通信网络中的作用类似于什么？,大脑,四肢,神经网络,感官,,C,无,单选题
265,上行链路带间（Inter-band）CA中，每个频段的发射功率与非CA信号相比如何变化？,增加3dB,减少3dB,不变,增加6dB,,B,无,单选题
266,5G NR子载波间隔的取值需要考虑哪些传播特征参数？,多径效应的平均时延差异,最大多普勒频偏,小区半径,用户数量,,ABC,无,多选题
267,NOMA技术的关键技术包括以下哪些？,串行干扰删除（SIC）,功率复用,正交频分复用,跳时技术,,AB,无,多选题
268,载波聚合的优势有哪些？,整合频谱,提高数据速率,平衡网络负载,降低终端成本,,ABC,无,多选题
269,4G LTE和5G NR都只使用15 kHz一种子载波间隔。,,,,,,错误,无,判断题
270,NOMA在发送端采用正交发送方式，避免引入干扰信息。,,,,,,错误,无,判断题
271,承载网是移动通信网络中负责承载数据传输的网络，位于接入网和核心网之间。,,,,,,正确,无,判断题
272,根据承载网层次划分，接入层的速率通常为以下哪个范围？,155 Mbit/s - 1 Gbit/s,622 Mbit/s - 10 Gbit/s,1 - 10 Gbit/s,10 Gbit/s 到 Tbit/s 数量级,,A,无,单选题
273,PTN分组传送网的主流技术是以下哪一种？,PBB-TE,T-MPLS/MPLS-TP,SDH,OTN,,B,无,单选题
274,OTN3.0的客户侧接口不包括以下哪一项？,25GE,50GE,100GE,E1,,D,无,单选题
275,以下哪种设备主要承载LTE业务？,SDH,DWDM,OTN和PTN,MSTP,,C,无,单选题
276,PTN网络在城域范围内提供的业务保护时间是多少？,小于50ms,50-100ms,100-200ms,大于200ms,,A,无,单选题
277,OTN定义的电层传输颗粒不包括以下哪一项？,ODU0,ODU1,ODU2,VC-4,,D,无,单选题
278,5G承载网络需要解决的问题包括以下哪些？,大容量/大带宽,低时延,刚性隔离的切片,高精度时间同步,,ABCD,无,多选题
279,PTN的优点包括以下哪些？,端到端QoS设计,城域范围内小于50ms的业务保护时间,继承SDH端到端管理能力,创新的高性能电信级分组架构,,ABCD,无,多选题
280,OTN的技术特征包括以下哪些？,多种客户信号封装和透明传输,大颗粒的带宽复用、交叉和配置,强大的开销和维护管理能力,增强了组网和保护能力,,ABCD,无,多选题
281,接入层的速率通常比汇聚层高。,,,,,,错误,无,判断题
282,PTN承载TDM业务的能力较强。,,,,,,错误,无,判断题
283,OTN3.0的线路侧采用OTUCn灵活可变速率。,,,,,,正确,无,判断题
284,5G接入网重构后的三个功能实体不包括以下哪一项？,CU（集中单元）,DU（分布单元）,AAU（有源天线单元）,BBU（基带处理单元）,,D,无,单选题
285,以下哪项是CU（集中单元）的主要功能？,处理物理层协议和实时服务,处理非实时协议和服务,负责射频信号的收发,实现网络切片的调度,,B,无,单选题
286,5G承载网中，AAU到DU之间的部分被称为？,回传,中传,前传,直传,,C,无,单选题
287,中国移动在5G承载网中主推的技术方案是？,SPN（切片分组网）,M-OTN（移动优化OTN）,IPRAN2.0（增强IPRAN）,WDM-PON（波分复用无源光网络）,,A,无,单选题
288,以下哪种前传承载方式在5G部署初期作为补充方案？,光纤直连,无源WDM,有源OTN,微波,,B,无,单选题
289,5G中回传承载方案不包括以下哪种技术框架的改造？,PTN,OTN,IPRAN,WDM-PON,,D,无,单选题
290,5G接入网重构后的功能实体包括以下哪些？,CU（集中单元）,DU（分布单元）,AAU（有源天线单元）,BBU（基带处理单元）,,ABC,无,多选题
291,以下属于5G前传承载方式的有哪些？,光纤直连,无源WDM/WDM-PON,有源设备（OTN/SPN/TSN）,微波,,ABCD,无,多选题
292,5G中回传承载方案的技术框架包括以下哪些？,PTN,OTN,IPRAN,WDM-PON,,ABC,无,多选题
293,5G接入网中的CU负责处理物理层协议和实时服务。,,,,,,错误,无,判断题
294,5G承载网的前传部分是指DU到CU之间的连接。,,,,,,错误,无,判断题
295,中国移动在5G承载网中主推SPN（切片分组网）方案。,,,,,,正确,无,判断题
296,根据文中描述，5G承载网方案一中的中传方案采用哪种设备实现DU的汇聚？,OLT,MS-OTN,IPRAN,PTN,,B,无,单选题
297,固移融合承载方案（方案二）的主要缺点不包括以下哪一项？,OLT时延较大,CU覆盖范围有限,投资成本过高,需优化QoS保障,,C,无,单选题
298,文中提到OTN技术是在WDM基础上融合了SDH的优点，以下哪项不是OTN的核心优势？,刚性管道传输,丰富的OAM开销,灵活的业务调度,完善的保护机制,,A,无,单选题
299,5G承载网方案一中，接入层的组网带宽预测为多少？,10Gbit/s,40Gbit/s,100Gbit/s,Tbit/s级,,C,无,单选题
300,根据文中描述，MSTP技术的内核是什么？,以太网,ATM,TDM,IP,,C,无,单选题
301,5G承载网方案二中，OLT设备的主要作用是什么？,核心网网关,汇聚基站与有线业务,无线信号发射,光信号放大,,B,无,单选题
302,5G承载网方案一的优点包括以下哪些？,大带宽,低时延,投资成本低,线路带宽易升级,,ABD,无,多选题
303,关于OTN技术，以下描述正确的有哪些？,OTN=WDM+SDH,支持光层和电层调度,解决了WDM的调度灵活性问题,完全替代了SDH和WDM,,ABC,无,多选题
304,5G承载网方案选择的主要影响因素包括哪些？,CU的定位,资金投入,技术进步,运营商品牌,,ABC,无,多选题
305,5G承载网方案一中，回传方案采用100Gbit/s~Tbit/s级别波分或中继光缆回传至核心网。,,,,,,正确,无,判断题
306,固移融合承载方案（方案二）中，室内小基站可与ONU集成，易于部署。,,,,,,正确,无,判断题
307,OTN技术的电层调度工作方式与SDH完全相同。,,,,,,错误,无,判断题
308,在5G核心网的服务化架构(SBA)中，负责终端接入权限和切换管理的功能实体是？,SMF,AMF,UPF,NSSF,,B,无,单选题
309,2G网络中，MSC和VLR的物理关系是？,物理分离的独立设备,同一硬件设备实现两个功能,VLR是MSC的外部模块,无直接关联,,B,无,单选题
310,以下哪种技术属于MSTP网络实现带宽动态分配的机制？,LCAS,CAR,QinQ,MPLS VPN,,A,无,单选题
311,4G核心网中，取代SGSN的功能实体是？,MME,SGW,PGW,IMS,,A,无,单选题
312,5G核心网采用的架构是？,电路交换架构,服务化架构(SBA),扁平化架构,分层架构,,B,无,单选题
313,PTN技术主要定位于以下哪个场景？,局域网,城域网,广域网,核心网,,B,无,单选题
314,5G核心网的主要功能实体包括？,AMF,SMF,UPF,MSC,,ABC,无,多选题
315,以下属于MSTP技术特点的是？,支持以太帧加标签,基于2M基础单元的带宽动态分配,采用CAR技术实现限速,完全由以太网主导,,ABC,无,多选题
316,3G到4G核心网演进中出现的变化包括？,RNC功能拆分,SGSN演变为MME,GGSN演变为SGW/PGW,引入IMS提供多媒体服务,,ABCD,无,多选题
317,5G核心网必须运行在虚拟化平台上，且只有5G才能使用虚拟化平台。,,,,,,错误,无,判断题
318,MSTP网络实现Any to Any连接的方法比L2TP的伪线技术更先进。,,,,,,错误,无,判断题
319,ASON技术使MSTP实现了三层功能，不再透明，但成本高于数据网设备且丧失了SDH的安全性。,,,,,,正确,无,判断题
320,5G核心网中负责用户接入和移动性管理的网元是以下哪一个？,SMF,AMF,UPF,PCF,,B,无,单选题
321,在5G核心网中，负责用户面数据转发和处理的网元是？,SMF,UPF,AMF,UDM,,B,无,单选题
322,5G核心网中解决EPC控制面与用户面耦合问题的关键技术不包括以下哪项？,SDN,NFV,MEC,网络切片,,C,无,单选题
323,以下哪种5G组网方式不需要5G核心网（5GC）？,Option2的SA方式,Option3的NSA方式,Option4的SA方式,Option5的SA方式,,B,无,单选题
324,5G核心网中，负责会话管理（如会话建立、修改和释放）的网元是？,AMF,SMF,UPF,AUSF,,B,无,单选题
325,5G核心网架构的一个主要特征是控制面和用户面分离，以下哪个网元仅属于控制面？,AMF,UPF,SGW,PGW,,A,无,单选题
326,5G核心网中，AMF承载的功能包括以下哪些？,终止NAS（N1）接口,注册管理和连接管理,用户IP地址分配,安全锚功能（SEAF）,,ABD,无,多选题
327,5G核心网的主要特征包括以下哪些？,控制面与用户面分离,模块化功能设计,网元交互流程服务化,基于流的QoS,,ABCD,无,多选题
328,以下属于5G核心网控制面网元的有哪些？,AMF,SMF,UPF,PCF,,ABD,无,多选题
329,5G核心网中，UPF既承担控制面功能又承担用户面功能。,,,,,,错误,无,判断题
330,Option2的SA组网方式中，5G无线网（NR）直接与5G核心网（5GC）连接。,,,,,,正确,无,判断题
331,5G核心网的网元交互完全采用传统接口，没有服务化接口。,,,,,,错误,无,判断题
332,5G核心网服务化架构中，负责网络功能服务自动注册、发现和状态检测的网元是？,AMF,NRF,SMF,UPF,,B,无,单选题
333,5G核心网用户面功能UPF替代了4G中的哪个/哪些网元？,MME,SGW和PGW,PCRF,HSS,,B,无,单选题
334,5G核心网服务化架构的四大特征不包括以下哪项？,传统网元拆分,网络功能服务管理自动化,网络通信路径优化,用户面与控制面融合,,D,无,单选题
335,以下哪种5G部署方式采用了5GC，可以利用5GC新型的网络和业务能力（如切片、边缘计算）？,Option2 SA,NSA,Option3 NSA,Option7 NSA,,A,无,单选题
336,5G核心网控制面中负责终端移动性和接入管理的网元是？,SMF,AMF,PCF,UDM,,B,无,单选题
337,SDN架构中，控制层与基础设施层之间的标准化接口协议是？,HTTP,OpenFlow,TCP/IP,UDP,,B,无,单选题
338,5G核心网架构与传统核心网架构的显著区别包括以下哪些？,控制面网络功能采用基于服务化架构和接口,控制面与媒体面分离,移动性管理与会话管理解耦,核心网对接入方式无感知,,ABC,无,多选题
339,从EPC向5GC演进的主要方案包括以下哪些？,直接在云资源池部署5GC，传统EPC逐步退网,先部署vEPC，再升级为5GC,直接将传统EPC升级为5GC,通过NSA方式部署5GC,,AB,无,多选题
340,5G核心网服务化架构中，传统网元拆分的特点包括以下哪些？,将网络功能拆分为自包含、自管理的网络功能服务,网络功能服务具备独立升级、弹性能力,通过编排工具进行编排和实例化部署,网络功能服务间采用点对点通信方式,,ABC,无,多选题
341,NSA方式在业务方面可以支持5G新型业务如切片、边缘计算。,,,,,,错误,无,判断题
342,NFV技术中，网元功能运行在通用x86平台服务器上。,,,,,,正确,无,判断题
343,SDN的基本原理是将控制面和数据面分拆，网络智能逻辑集中化。,,,,,,正确,无,判断题
344,5G核心网控制面采用的架构是以下哪种？,服务化架构（SBA）,传统紧耦合架构,单体式架构,黑盒设备架构,,A,无,单选题
345,SDN的核心思想是什么？,控制平面与数据转发平面分离并可编程化控制,网络功能与硬件解耦,将网络切分为多个虚拟切片,实现网络服务的自动化注册与发现,,A,无,单选题
346,以下哪种技术不是网络虚拟化技术？,VPN,VLAN,NFV,叠加网络,,C,无,单选题
347,5G服务化架构中负责服务注册与发现的网络功能是？,NRF,MME,SGW,PGW,,A,无,单选题
348,CUPS的中文全称是什么？,控制与用户面分离,服务化架构,网络功能虚拟化,软件定义网络,,A,无,单选题
349,以下哪项不是SDN的三大特征之一？,控制转发分离,控制层逻辑集中控制,控制层向应用层开放API,网络功能与硬件解耦,,D,无,单选题
350,5G服务化架构（SBA）的关键技术点包括以下哪些？,生产者与消费者之间的消息交互模式,服务的自动化注册和发现,统一服务化接口协议,网络切片技术,,ABC,无,多选题
351,SDN与NFV的关系包括以下哪些？,来源于相同技术基础,互补关系,相互独立，无依赖关系,SDN是NFV的前提,,ABC,无,多选题
352,网络切片的优势包括以下哪些？,按需定制网络特性,提高资源利用效率,故障隔离不影响其他切片,降低网络部署成本,,ABCD,无,多选题
353,VPN技术可以实现网络服务提供者与网络设施提供者的功能分离。,,,,,,错误,无,判断题
354,5G核心网服务化架构的接口协议栈采用RESTFul API设计方式。,,,,,,正确,无,判断题
355,基于SDN的网络虚拟化中，虚拟网络间无法实现相互隔离。,,,,,,错误,无,判断题
356,5G网络中，以下哪种应用场景最需要超低时延和高可靠性？,高清视频,工业自动化,大规模物联网,普通网页浏览,,B,无,单选题
357,5G网络切片技术的核心目的是什么？,提高网络的物理带宽,在单一物理网络上构建多个虚拟隔离的逻辑网络,简化网络设备的硬件结构,减少网络中的数据传输量,,B,无,单选题
358,多接入边缘计算（MEC）的主要优势不包括以下哪一项？,降低网络时延,提高数据传输的安全性,实现本地化数据处理,减轻核心网负担,,B,无,单选题
359,5G网络中，核心网功能“下沉”到MEC的主要目的是什么？,降低网络部署成本,减少核心网的负载,满足低时延业务需求,提高网络的移动性管理能力,,C,无,单选题
360,以下哪种5G应用场景最适合使用网络切片技术实现资源共享与隔离？,单一用户的语音通话,自动驾驶中的V2X通信与车内媒体服务,固定位置的传感器数据采集,传统短信服务,,B,无,单选题
361,5G网络切片管理架构中，负责将业务需求映射为网络切片需求的功能是？,通信业务管理功能（CSMF）,网络切片管理功能（NSMF）,网络切片子网管理功能（NSSMF）,MANO,,A,无,单选题
362,5G网络的三大应用场景包括以下哪些？,增强移动宽带（eMBB）,超可靠低时延通信（uRLLC）,大规模物联网（mMTC）,虚拟现实（VR）,,ABC,无,多选题
363,网络切片技术实现的前提条件包括以下哪些？,网络功能虚拟化（NFV）,软件定义网络（SDN）,云计算技术,传统硬件设备的升级,,ABC,无,多选题
364,多接入边缘计算（MEC）的关键技术包括以下哪些？,业务和用户感知,跨层优化,网络能力开放,核心网控制面与用户面分离（C/U分离）,,ABCD,无,多选题
365,5G网络切片之间完全独立，无法共享任何物理资源。,,,,,,错误,无,判断题
366,多接入边缘计算（MEC）只能部署在基站侧，不能部署在核心网边缘。,,,,,,错误,无,判断题
367,5G网络切片技术可以为每个行业应用定制专属的网络服务，避免重复建设物理网络。,,,,,,正确,无,判断题
368,MEC中视频缓存与优化应用的核心问题是什么？,内容的命中率,视频清晰度,用户感知能力,无线信道质量,,A,无,单选题
369,5G网络切片的目的是什么？,区分不同业务类型的流量,实现流量本地卸载,提升无线信号强度,降低终端功耗,,A,无,单选题
370,MEC本地分流方案中，本地业务数据的传输路径是？,直接由MEC平台分流至本地网络,必须经过核心网转发,通过Wi-Fi传输,需要终端改造才能实现,,A,无,单选题
371,以下哪种技术可为MEC的计费和安全问题提供解决方案？,C/U分离技术,网络切片技术,MEC视频缓存技术,LIPA技术,,A,无,单选题
372,3GPP在哪个会议上完成了5G NR独立组网（SA）方案的冻结？,TSG RAN第80次全会,SA#44会议,TSG RAN第78次全会,2017年12月会议,,A,无,单选题
373,MEC与网络切片的联系不包括以下哪项？,MEC可支持超低时延切片,网络切片的流量区分精细度更高,MEC丰富了网络切片技术内涵,两者都涉及流量区分,,B,无,单选题
374,MEC视频缓存与优化应用涉及的技术包括以下哪些？,本地缓存,跨层视频优化,用户感知,网络切片,,ABC,无,多选题
375,基于MEC的本地分流方案的特点包括以下哪些？,对终端透明,对核心网透明,支持本地业务和公网业务,需要改造终端,,ABC,无,多选题
376,5G NR标准的第一阶段全功能标准化工作包括以下哪些？,非独立组网（NSA）标准,独立组网（SA）标准,LIPA/SIPTO标准,MEC标准,,AB,无,多选题
377,MEC的C/U分离技术是5G的趋势技术之一，同时也是MEC的关键技术。,,,,,,正确,无,判断题
378,LIPA/SIPTO方案需要终端用户采用专用APN标识本地业务的PDN。,,,,,,正确,无,判断题
379,MEC本地分流方案中，控制面数据需要经过MEC平台处理后再发送至核心网。,,,,,,错误,无,判断题
380,中国正式进入5G商用元年的标志是工信部向中国电信、中国移动、中国联通、中国广电发放5G商用牌照，该事件发生在以下哪个时间？,2018年12月10日,2019年6月6日,2019年10月31日,2020年1月1日,,B,无,单选题
381,在5G媒体直播场景中，央视与电信合作的中华龙舟大赛直播首次实现了以下哪项技术应用？,移动机位高清视频回传,8K超高清直播,VR沉浸式直播,卫星链路回传,,A,无,单选题
382,柳工集团5G远程操控工程机械项目中，挖掘机的控制信号通过以下哪种方式传输？,Wi-Fi网络,5G网络,有线以太网,蓝牙技术,,B,无,单选题
383,以下哪个是5G媒体直播中云制作环节的主要优势？,增加导播车使用频率,节省导播车和卫星链路费用,提高卫星车租用成本,限制摄像机移动范围,,B,无,单选题
384,海尔天津洗衣机互联工厂是全球唯一的5G波轮滚筒柔性生产工厂，其合作方不包括以下哪个？,中国电信,天津大学,华为技术有限公司,海尔工业智能研究院,,C,无,单选题
385,5G+智慧停车库项目中，实现设备故障预警和关键零部件失效预测主要依赖以下哪种技术？,5G+大数据,蓝牙定位,有线传感器,人工巡检,,A,无,单选题
386,5G在媒体直播领域的应用优势包括以下哪些？,摄像机无线化，扩大活动范围,降低采播环节成本,实现云制作和创新商业模式,增加微波车租用费用,,ABC,无,多选题
387,以下属于5G+工业互联网典型应用场景的有哪些？,远程操控工程机械,智慧停车库远程运维,工业数据采集与分析,4G网络备份,,ABC,无,多选题
388,天河体育中心5G智慧球场项目解决的业务需求包括以下哪些？,现场网络超负荷,观众观赛距离过远,焦点赛事一票难求,比赛时间过长,,ABC,无,多选题
389,2019年10月31日三大运营商公布5G商用套餐，并于当日正式上线。,,,,,,错误,无,判断题
390,5G媒体直播中，摄像机无线化可以避免有线/微波的活动范围限制，例如HDMI线最大10米的限制。,,,,,,正确,无,判断题
391,柳工集团5G远程操控工程机械项目中，挖掘机远程控制的时延要求为20ms。,,,,,,正确,无,判断题
392,5G视频安防领域整体架构中的能力层不包含以下哪项？,存储云,智能云,视频基础功能,感知层设备,,D,无,单选题
393,浙江省消防总队5G+智慧消防实战演练中未涉及以下哪项应用？,消防机器人远程辅助灭火,多路高清画面实时回传,无人机倾斜摄影实时建模,远程手术,,D,无,单选题
394,深圳立体巡防智慧派出所解决方案中未结合以下哪项技术？,AI人脸识别,AR巡逻,防爆设备,无人机监控,,C,无,单选题
395,雄安新区5G智慧工地项目未采用以下哪种技术？,移动边缘计算服务器(MEC),4K高清视频,BIM平台,远程会诊,,D,无,单选题
396,5G智慧医疗行业客户的痛点不包括以下哪项？,远程医疗水平待提升,院内设备管理及医疗业务有效协同,医院人工成本高,5G网络覆盖不足,,D,无,单选题
397,"西工大""5G+远程支教""项目的核心价值不包括以下哪项？","推动教育扶贫从""输血""式向""造血""式转变",解决支教受时间地域限制的问题,提升师生信息化素养,降低医院人工成本,,D,无,单选题
398,5G视频安防领域整体架构中的应用层涉及以下哪些场景？,工地,公共交通,校园,医院,,ABC,无,多选题
399,深圳立体巡防智慧派出所解决方案结合了以下哪些技术？,5G大带宽能力,警务无人机,AI人脸识别,远程手术机器人,,ABC,无,多选题
400,5G智慧医疗行业总体视图中的应用包括以下哪些？,远程手术,远程会诊,物资配送机器人,无人机倾斜摄影,,ABC,无,多选题
401,5G视频安防领域整体架构中的接口层以标准化接口实现应用对能力的调用，如HpJSon/XMLOCX。,,,,,,正确,无,判断题
402,北京积水潭医院完成了全球首例骨科手术机器人多中心5G远程手术。,,,,,,正确,无,判断题
403,南京信息职业技术学院案例中，传统网络现状能满足日常教学科研需求。,,,,,,错误,无,判断题
404,中国电信5G+教育云解决方案中，构建校园信息化基础环境的核心是？,仅依赖5G网络,仅依赖天翼云,5G+光网构建双千兆融合网络结合天翼云,仅依赖校园局域网,,C,无,单选题
405,无锡硕放机场5G+旅客服务项目中，用于展示无锡本地旅游资源的设备是？,5G体验厅的VR全景设备,机场旅客出口处的5G智慧触摸屏,航站楼内的5G室内站点,机场的人脸识别设备,,B,无,单选题
406,广东珍宝巴士5G智慧公交项目中，用于实现司机血压、心率远程实时监测的设备是？,车载摄像头,可穿戴式设备,IPTV服务器,巴士监控中心大屏,,B,无,单选题
407,开沃汽车5G远程驾驶/无人驾驶场景项目中，原来使用的网络因何问题无法满足需求？,网络覆盖范围不足,网络速率和延时达不到要求,网络安全性差,网络连接设备数量受限,,B,无,单选题
408,杭州传化公路港智慧之眼项目中，利用什么技术支持AI算法对监控视频实时分析？,天翼云高性能存储和计算能力,5G基站的边缘计算能力,园区内的Wi-Fi网络,无人机的图像处理能力,,A,无,单选题
409,南方电网广州供电局5G智慧工地项目中，针对工地不具备光纤接入难点采用的技术是？,5G大带宽低时延技术,工业级Wi-Fi技术,传统有线光纤技术,NB-IoT技术,,A,无,单选题
410,中国电信5G+教育云解决方案的客户价值包括？,5G教学深度融合，校企全面合作,助力双高院校建设目标,降低校园网络建设成本,实现校园全覆盖的Wi-Fi网络,,AB,无,多选题
411,5G智慧交通中，5G超低时延特性可支持的应用有？,远程控制,自动驾驶,机器人协同,视频安防,,ABC,无,多选题
